Ano de Lançamento,Título da obra,Gênero,Nacionalidade da obra,Empresa distribuidora,Salas no Lançamento
2010,"Depois De Ontem, Antes De Amanhã",Documentário,Brasileira,Vega Filmes,1
2010,Desejo E Poder,Ficção,Estrangeira,Moviemobz,1
2010,Destinos Ligados,Ficção,Estrangeira,Playarte,19
2010,Deu A Louca Nos Bichos,Ficção,Estrangeira,Paris,61
2010,Diário Perdido,Ficção,Estrangeira,Imovision,9
2010,Direito De Amar,Ficção,Estrangeira,Paris,29
2010,Doce Brasil Holandês,Documentário,Brasileira,M. Schmiedt Produções,1
2010,Dois Irmãos,Ficção,Estrangeira,Imovision,13
2010,Dupla Implacável,Ficção,Estrangeira,Playarte,172
2010,Dzi Croquettes,Documentário,Brasileira,Imovision,6
2010,Educação,Ficção,Estrangeira,Sony,13
2010,Elevado 3.5,Documentário,Brasileira,Espaço Filmes,1
2010,Elza,Documentário,Brasileira,Gávea Filmes E Produções,4
2010,Em Busca De Uma Nova Chance,Ficção,Estrangeira,Playarte,57
2010,Em Teu Nome,Ficção,Brasileira,Accorde Audiovisuais,16
2010,Encontro Explosivo,Ficção,Estrangeira,Fox,324
2010,Enfim Viúva,Ficção,Estrangeira,Pandora Filmes,8
2010,Enterrado Vivo,Ficção,Estrangeira,Califórnia,48
2010,Entre Irmãos,Ficção,Estrangeira,Imagem,60
2010,Esquadrão Classe A,Ficção,Estrangeira,Fox,256
2010,Eu E Meu Guarda-Chuva,Ficção,Brasileira,Fox,75
2010,Eu Matei Minha Mãe,Ficção,Estrangeira,Ab Filmes,3
2010,Federal,Ficção,Brasileira,Europa/Riofilme,63
2010,Filme Socialismo,Ficção,Estrangeira,Imovision,4
2010,Flor Do Deserto,Ficção,Estrangeira,Imovision,38
2010,Fluidos,Ficção,Brasileira,Polifilmes,1
2010,Fúria De Titãs,Ficção,Estrangeira,Warner,438
2010,Garfield 3D - Um Super Herói Animal,Animação,Estrangeira,Playarte,190
2010,Gente Grande,Ficção,Estrangeira,Sony,179
2010,"Godard, Truffaut E A Nouvelle Vague",Documentário,Estrangeira,Imovision,2
2010,Grêmio 10X0,Documentário,Brasileira,G7 Cinema,2
2010,Guerra Ao Terror,Ficção,Estrangeira,Imagem,42
2010,Halloween 2,Ficção,Estrangeira,Playarte,52
2010,Harry Potter E As Relíquias Da Morte - Parte 1,Ficção,Estrangeira,Warner,929
2010,High School Musical - O Desafio,Ficção,Brasileira,Sony,206
2010,Histórias De Amor Duram Apenas 90 Minutos,Ficção,Brasileira,Downtown/Riofilme,10
2010,Homens Em Fúria,Ficção,Estrangeira,Imagem,40
2010,Homens Que Encaravam Cabras,Ficção,Estrangeira,Sony,10
2010,Idas E Vindas Do Amor,Ficção,Estrangeira,Warner,158
2010,Ilha Do Medo,Ficção,Estrangeira,Paramount,188
2010,"Índia, Amor E Outras Delícias",Ficção,Estrangeira,Serendip,9
2010,Insolação,Ficção,Brasileira,Europa,3
2010,Instinto De Vingança,Ficção,Estrangeira,Playarte,43
2010,Invictus,Ficção,Estrangeira,Warner,76
2010,Jackass 3D,Ficção,Estrangeira,Paramount,94
2010,Jards Macalé - Um Morcego Na Porta Principal,Documentário,Brasileira,Moviemobz,3
2010,Jogos Mortais - O Final,Ficção,Estrangeira,Imagem,268
2010,José E Pilar,Documentário,Brasileira,Espaço Filmes,20
2010,Juntos Pelo Acaso,Ficção,Estrangeira,Warner,77
2010,Karate Kid,Ficção,Estrangeira,Sony,399
2010,Kick-Ass - Quebrando Tudo,Ficção,Estrangeira,Universal,45
2010,Lembranças,Ficção,Estrangeira,Paris,155
2010,Léo E Bia,Ficção,Brasileira,Copacabana Filmes,1
2010,Lissi E O Reino Dos Birutas,Animação,Estrangeira,Serendip,19
2010,London River - Destinos Cruzados,Ficção,Estrangeira,Califórnia,2
2010,"Lula, O Filho Do Brasil",Ficção,Brasileira,Downtown/Europa,360
2010,Luto Como Mãe,Documentário,Brasileira,Tv Zero Cinema,ND
2010,Luzes Na Escuridão,Ficção,Estrangeira,Pandora Filmes,1
2010,Machete,Ficção,Estrangeira,Sony,11
2010,Mademoiselle Chambon,Ficção,Estrangeira,Imovision,5
2010,Mais Que O Máximo,Ficção,Estrangeira,Imovision,6
2010,Maré De Azar,Ficção,Estrangeira,Paris,18
2010,Marmaduke,Ficção,Estrangeira,Fox,103
2010,Mary E Max - Uma Amizade Diferente,Animação,Estrangeira,Playarte,18
2010,Megamente,Animação,Estrangeira,Paramount,457
2010,Meu Malvado Favorito,Animação,Estrangeira,Universal,384
2010,Meu Mundo Em Perigo,Ficção,Brasileira,Vitrine Filmes,2
2010,Micmacs - Um Plano Complicado,Ficção,Estrangeira,Sony,1
2010,"Minha Terra, África",Ficção,Estrangeira,Imovision,2
2010,Minhas Mães E Meu Pai,Ficção,Estrangeira,Imagem,57
2010,Missão Quase Impossível,Ficção,Estrangeira,Imagem,88
2010,"Morgue Story - Sangue, Baiacu E Quadrinhos",Ficção,Brasileira,Moro Comunicação,1
2010,"Moscou, Bélgica",Ficção,Estrangeira,Filmes Da Mostra,4
2010,Mother - A Busca Pela Verdade,Ficção,Estrangeira,Paris,5
2010,Muita Calma Nessa Hora,Ficção,Brasileira,Europa/Riofilme,176
2010,Nanny Mcphee E As Lições Mágicas,Ficção,Estrangeira,Universal,50
2010,"Não, Minha Filha, Você Não Irá Dançar",Ficção,Estrangeira,Imovision,6
2010,Napoli Napoli Napoli,Ficção,Estrangeira,Paris,2
2010,Netto E O Domador De Cavalos,Ficção,Brasileira,Walper Ruas,2
2010,Nine,Ficção,Estrangeira,Sony,40
2010,Ninja Assassino,Ficção,Estrangeira,Warner,44
2010,No Meio Do Mundo,Documentário,Estrangeira,Pipa Produções,2
2010,Nos Embalos Da Disco,Ficção,Estrangeira,Pandora Filmes,1
2010,Nosso Lar,Ficção,Brasileira,Fox,444
2010,O Abraço Corporativo,Documentário,Brasileira,Idéia Forte,1
2010,O Amor Acontece,Ficção,Estrangeira,Playarte,128
2010,O Amor Segundo B. Schianberg,Ficção,Brasileira,Espaço Filmes,3
2010,O Aprendiz De Feiticeiro,Ficção,Estrangeira,Sony,217
2010,O Bem Amado,Ficção,Brasileira,Sony,157
2010,O Bom Coração,Ficção,Estrangeira,Imovision,6
2010,O Ciúme Mora Ao Lado,Ficção,Estrangeira,Imovision,4
2010,O Concerto,Ficção,Estrangeira,Paris,16
2010,O Escritor Fantasma,Ficção,Estrangeira,Paris,30
2010,O Estranho Em Mim,Ficção,Estrangeira,Filmes Da Mostra,5
2010,O Estudante (2010),Ficção,Estrangeira,Califórnia,6
2010,O Fada Do Dente,Ficção,Estrangeira,Fox,171
2010,O Fim Da Escuridão,Ficção,Estrangeira,Imagem,155
2010,O Garoto De Liverpool,Ficção,Estrangeira,Imagem,18
2010,O Golpista Do Ano,Ficção,Estrangeira,Imagem,50
2010,O Grão,Ficção,Brasileira,Usina Digital,2
2010,O Homem De Ferro 2,Ficção,Estrangeira,Paramount,632
2010,O Homem Que Engarrafava Nuvens,Documentário,Brasileira,Espaço Filmes,14
2010,O Inferno De Henri-Georges Clouzot,Documentário,Estrangeira,Imovision,1
2010,O Livro De Eli,Ficção,Estrangeira,Sony,196
2010,O Lobisomem,Ficção,Estrangeira,Universal,275
2010,O Louco Amor De Yves Saint Laurent,Documentário,Estrangeira,Serendip,3
2010,O Mensageiro (2010),Ficção,Estrangeira,Paris,18
2010,O Mundo Encantado De Gigi,Animação,Estrangeira,Playarte,70
2010,O Mundo Imaginário Do Dr. Parnassus,Ficção,Estrangeira,Sony,6
2010,O Pecado De Hadewijch,Ficção,Estrangeira,Imovision,3
2010,O Pequeno Nicolau,Ficção,Estrangeira,Imovision,30
2010,O Preço Da Traição,Ficção,Estrangeira,Playarte,56
2010,O Profeta,Ficção,Estrangeira,Sony,6
2010,O Que Resta Do Tempo,Ficção,Estrangeira,Imovision,8
2010,O Refúgio,Ficção,Estrangeira,Imovision,3
2010,O Segredo Dos Seus Olhos,Ficção,Estrangeira,Europa,26
2010,O Sol Do Meio-Dia,Ficção,Brasileira,Pandora Filmes,5
2010,O Solteirão,Ficção,Estrangeira,Califórnia,32
2010,O Último Exorcismo,Ficção,Estrangeira,Playarte,178
2010,O Último Mestre Do Ar,Ficção,Estrangeira,Paramount,258
2010,Oceanos,Documentário,Estrangeira,Playarte,14
2010,Olhos Azuis,Ficção,Brasileira,Imagem,20
2010,Onde Vivem Os Monstros,Ficção,Estrangeira,Warner,24
2010,Ondine,Ficção,Estrangeira,Imagem,17
2010,Os Estados Unidos Contra John Lennon,Documentário,Estrangeira,Filmes Da Mostra,6
2010,Os Famosos E Os Duendes Da Morte,Ficção,Brasileira,Warner,10
2010,Os Homens Que Não Amavam As Mulheres,Ficção,Estrangeira,Imagem,32
2010,Os Inquilinos,Ficção,Brasileira,Pandora Filmes,9
2010,Os Mercenários,Ficção,Estrangeira,Califórnia,177
2010,Os Outros Caras,Ficção,Estrangeira,Sony,68
2010,Os Vampiros Que Se Mordam,Ficção,Estrangeira,Fox,126
2010,Pachamama,Documentário,Brasileira,Videofilmes,6
2010,Pandorum,Ficção,Estrangeira,Imagem,34
2010,Pânico Na Neve,Ficção,Estrangeira,Playarte,52
2010,Par Perfeito,Ficção,Estrangeira,Imagem,120
2010,Patrick 1.5,Ficção,Estrangeira,Ab Filmes,5
2010,Pecado Da Carne,Ficção,Estrangeira,Ab Filmes,5
2010,Pecados Do Meu Pai,Documentário,Estrangeira,Serendip,4
2010,Percy Jackson E O Ladrão De Raios,Ficção,Estrangeira,Fox,280
2010,Piranha 3D,Ficção,Estrangeira,Imagem,194
2010,Plano B,Ficção,Estrangeira,Sony,142
2010,Ponyo – Uma Amizade Que Veio Do Mar,Animação,Estrangeira,Playarte,42
2010,Preciosa: Uma História De Esperança,Ficção,Estrangeira,Playarte,64
2010,Predadores,Ficção,Estrangeira,Fox,167
2010,Premonição 4,Ficção,Estrangeira,Playarte,231
2010,Príncipe Da Pérsia: As Areias Do Tempo,Ficção,Estrangeira,Sony,366
2010,Procurando Elly,Ficção,Estrangeira,Imovision,7
2010,"Programa Casé – O Que A Gente Não Inventa, Não Existe",Documentário,Brasileira,Espaço Filmes,7
2010,Quando Me Apaixono,Ficção,Estrangeira,Europa,12
2010,Querido John,Ficção,Estrangeira,Sony,33
2010,Quincas Berro D'Água,Ficção,Brasileira,Sony,107
2010,Rec 2,Ficção,Estrangeira,Playarte,53
2010,Red - Aposentados E Perigosos,Ficção,Estrangeira,Paris,208
2010,Reflexões De Um Liquidificador,Ficção,Brasileira,Bras Filmes,1
2010,Resident Evil 4: Recomeço,Ficção,Estrangeira,Sony,430
2010,"Rita Cadillac, A Lady Do Povo",Documentário,Brasileira,Espaço Filmes,9
2010,Robin Hood,Ficção,Estrangeira,Universal,414
2010,Salt,Ficção,Estrangeira,Sony,270
2010,Scott Pilgrim Contra O Mundo,Ficção,Estrangeira,Universal,3
2010,Sede De Sangue,Ficção,Estrangeira,Paris,4
2010,Segurança Nacional,Ficção,Brasileira,Europa,37
2010,Sempre Bela,Ficção,Estrangeira,Filmes Da Mostra,1
2010,Senna,Documentário,Estrangeira,Universal,111
2010,Sentimento De Culpa,Ficção,Estrangeira,Sony,5
2010,Sex And The City 2,Ficção,Estrangeira,Warner,201
2010,Sherlock Holmes,Ficção,Estrangeira,Warner,322
2010,Shrek Para Sempre,Animação,Estrangeira,Paramount,757
2010,Simplesmente Complicado,Ficção,Estrangeira,Universal,174
2010,Skyline - A Invasão,Ficção,Estrangeira,Playarte,133
2010,Só Dez Por Cento É Mentira,Documentário,Brasileira,Downtown,1
2010,Soberano – Seis Vezes São Paulo,Documentário,Brasileira,G7 Cinema,50
2010,Solo,Ficção,Brasileira,Espaço Filmes,1
2010,Solomon Kane - O Caçador De Demônios,Ficção,Estrangeira,Paris,69
2010,Sonhos Roubados,Ficção,Brasileira,Europa,29
2010,Soul Kitchen,Ficção,Estrangeira,Imovision,13
2010,Supremacia Vermelha,Documentário,Brasileira,G7 Cinema,2
2010,Surpresa Em Dobro,Ficção,Estrangeira,Sony,51
2010,"Terra Deu, Terra Come",Documentário,Brasileira,Videofilmes,3
2010,Terras,Documentário,Brasileira,Vitrine Filmes,2
2010,Tetro,Ficção,Estrangeira,Imovision,6
2010,The Big Four,Videomusical,Estrangeira,Moviemobz,8
2010,The Runaways - Garotas Do Rock,Ficção,Estrangeira,Paris,4
2010,Todo Poderoso: O Filme - 100 Anos De Timão,Documentário,Brasileira,Fox,1
2010,Toy Story 3,Animação,Estrangeira,Sony,496
2010,Tron - O Legado,Ficção,Estrangeira,Sony,493
2010,Tropa De Elite 2,Ficção,Brasileira,Zazen,733
2010,Tudo Pode Dar Certo,Ficção,Estrangeira,Califórnia,29
2010,Tulpan,Ficção,Estrangeira,Filmes Da Mostra,5
2010,Tyson,Documentário,Estrangeira,Califórnia,1
2010,Um Doce Olhar,Ficção,Estrangeira,Paris,12
2010,Um Homem Misterioso,Ficção,Estrangeira,Universal,15
2010,Um Homem Que Grita,Ficção,Estrangeira,Bonfilm,5
2010,Um Homem Sério,Ficção,Estrangeira,Universal,6
2010,Um Lugar Ao Sol,Documentário,Brasileira,Símio Filmes,1
2010,Um Mar De Aventuras 3D,Documentário,Estrangeira,Espaço Itaú De Cinema,1
2010,Um Novo Caminho,Ficção,Estrangeira,Imovision,4
2010,Um Olhar Do Paraíso,Ficção,Estrangeira,Paramount,171
2010,Um Parto De Viagem,Ficção,Estrangeira,Warner,192
2010,Um Quarto Em Roma,Ficção,Estrangeira,Imovision,2
2010,Um Sonho Possível,Ficção,Estrangeira,Warner,115
2010,Uma Mãe Em Apuros,Ficção,Estrangeira,Paris,20
2010,Uma Noite Em 67,Documentário,Brasileira,Videofilmes,22
2010,Uma Noite Fora De Série,Ficção,Estrangeira,Fox,175
2010,Utopia E Barbárie,Documentário,Brasileira,Caliban,19
2010,Vencer,Ficção,Estrangeira,Imovision,1
2010,"Viajo Porque Preciso, Volto Porque Te Amo",Ficção,Brasileira,Espaço Filmes,9
2010,Vício Frenético,Ficção,Estrangeira,Imagem,72
2010,Vida Sobre Rodas,Documentário,Brasileira,Sony,17
2010,Vidas Que Se Cruzam,Ficção,Estrangeira,Paris,20
2010,Virus,Ficção,Estrangeira,Playarte,55
2010,"Vittorio De Sica – Minha Vida, Meus Amores",Documentário,Estrangeira,Serendip,14
2010,Você Vai Conhecer O Homem Dos Seus Sonhos,Ficção,Estrangeira,Paris,72
2010,Wall Street: O Dinheiro Nunca Dorme,Ficção,Estrangeira,Fox,153
2010,Zona Verde,Ficção,Estrangeira,Universal,50
2010,Zumbilândia,Ficção,Estrangeira,Sony,47
2011,11-11-11,Ficção,Estrangeira,Vinny Filmes,226
2011,127 Horas,Ficção,Estrangeira,Fox,63
2011,180º,Ficção,Brasileira,Pandora Filmes,8
2011,2012 - Tempo De Mudança,Documentário,Estrangeira,Vitrine Filmes,2
2011,4 X Timão - A Conquista Do Tetra,Documentário,Brasileira,Fox,1
2011,A Alegria,Ficção,Brasileira,Espaço Filmes,3
2011,A Antropóloga,Ficção,Brasileira,Imagem,3
2011,A Árvore,Ficção,Estrangeira,Pandora Filmes,10
2011,A Árvore Da Vida,Ficção,Estrangeira,Imagem,61
2011,A Árvore Do Amor,Ficção,Estrangeira,Serendip,5
2011,A Casa,Ficção,Estrangeira,Playarte,12
2011,A Casa De Sandro,Documentário,Brasileira,Enquadramento Produções,2
2011,A Casa Dos Sonhos,Ficção,Estrangeira,Warner,157
2011,A Chave De Sarah,Ficção,Estrangeira,Imagem,17
2011,A Condenação,Ficção,Estrangeira,Vinny Filmes,30
2011,A Criança Da Meia-Noite,Ficção,Estrangeira,Imovision,3
2011,A Despedida,Ficção,Estrangeira,Panda Filmes,1
2011,A Falta Que Nos Move,Ficção,Brasileira,Espaço Filmes,12
2011,A Fera,Ficção,Estrangeira,Imagem,64
2011,A Fuga Da Mulher Gorila,Ficção,Brasileira,Vitrine Filmes,5
2011,A Garota Da Capa Vermelha,Ficção,Estrangeira,Warner,104
2011,A Hora Do Espanto,Ficção,Estrangeira,Disney,235
2011,A Inquilina,Ficção,Estrangeira,Paris,46
2011,À Margem Do Lixo,Documentário,Brasileira,Raiz Distribuidora,1
2011,A Minha Versão Do Amor,Ficção,Estrangeira,Califórnia,41
2011,A Missão Do Gerente De Recursos Humanos,Ficção,Estrangeira,Imovision,4
2011,A Morte E Vida De Charlie,Ficção,Estrangeira,Universal,102
2011,A Pele Que Habito,Ficção,Estrangeira,Paris,81
2011,A Saga Crepúsculo: Amanhecer - Parte 2,Ficção,Estrangeira,Paris,1.278
2011,A Serbian Film - Terror Sem Limites,Ficção,Estrangeira,Petrini,1
2011,A Última Estação (2011),Ficção,Estrangeira,Sony,1
2011,A Última Estrada Da Praia,Ficção,Brasileira,Okna Produções,ND
2011,A Viagem De Lucia,Ficção,Estrangeira,Ab Filmes,6
2011,"Adeus, Primeiro Amor",Ficção,Estrangeira,Imovision,6
2011,Água Para Elefantes,Ficção,Estrangeira,Fox,130
2011,Além Da Estrada,Ficção,Brasileira,Vitrine Filmes,11
2011,Além Da Vida,Ficção,Estrangeira,Warner,101
2011,Amanhã Nunca Mais,Ficção,Brasileira,Fox,17
2011,Amizade Colorida,Ficção,Estrangeira,Sony,201
2011,Amor A Toda Prova,Ficção,Estrangeira,Warner,131
2011,Amor E Outras Drogas,Ficção,Estrangeira,Fox,100
2011,Amor?,Ficção,Brasileira,Copacabana Filmes,12
2011,Amores Imaginários,Ficção,Estrangeira,Ab Filmes,5
2011,Animais Unidos Jamais Serão Vencidos,Animação,Estrangeira,Playarte,223
2011,Apollo 18,Ficção,Estrangeira,Playarte,184
2011,As Aventuras De Sammy,Animação,Estrangeira,Playarte,201
2011,As Canções,Documentário,Brasileira,Espaço Filmes,10
2011,As Doze Estrelas,Ficção,Brasileira,Polifilmes/Lapfilme,27
2011,As Mães De Chico Xavier,Ficção,Brasileira,Paris,441
2011,As Praias De Agnès,Documentário,Estrangeira,Filmes Do Estação,1
2011,As Viagens De Gulliver,Ficção,Estrangeira,Fox,397
2011,Assalto Ao Banco Central,Ficção,Brasileira,Fox,325
2011,Assalto Em Dose Dupla,Ficção,Estrangeira,Califórnia,42
2011,Assassino A Preço Fixo,Ficção,Estrangeira,Imagem,91
2011,Atividade Paranormal 3,Ficção,Estrangeira,Paramount,208
2011,Atividade Paranormal Em Tóquio,Ficção,Estrangeira,Playarte,102
2011,Avenida Brasília Formosa,Documentário,Brasileira,Vitrine Filmes,4
2011,Bahêa Minha Vida,Documentário,Brasileira,Paris,15
2011,Balada Triste,Ficção,Estrangeira,Serendip,4
2011,Bebês,Documentário,Estrangeira,Europa,21
2011,Belair,Documentário,Brasileira,Pipa Produções,10
2011,Besouro Verde,Ficção,Estrangeira,Sony,430
2011,Biutiful,Ficção,Estrangeira,Paris,32
2011,Bollywood Dream – O Sonho Bollywoodiano,Ficção,Brasileira,Espaço Filmes,10
2011,Borboletas Negras,Ficção,Estrangeira,Imovision,6
2011,Brasil Animado 3D,Animação,Brasileira,Imagem,188
2011,Bravura Indômita,Ficção,Estrangeira,Paramount,153
2011,Broder,Ficção,Brasileira,Sony,35
2011,Bruna Surfistinha,Ficção,Brasileira,Imagem/Riofilme,347
2011,Burlesque,Ficção,Estrangeira,Sony,104
2011,Caça Às Bruxas,Ficção,Estrangeira,Imagem,248
2011,Caminho Da Liberdade,Ficção,Estrangeira,Califórnia,31
2011,Caminho Para O Nada,Ficção,Estrangeira,Lume Produções Cinematográficas,3
2011,Capitães Da Areia,Ficção,Brasileira,Imagem,119
2011,Capitão América: O Primeiro Vingador,Ficção,Estrangeira,Paramount,560
2011,Carros 2,Animação,Estrangeira,Disney,515
2011,"Chantal Akerman, De Cá",Documentário,Brasileira,Vitrine Filmes,6
2011,Chuva,Ficção,Estrangeira,Panda Filmes,9
2011,Cilada.Com,Ficção,Brasileira,Downtown/Paris/Riofilme,389
2011,Cinco Dias Sem Nora,Ficção,Estrangeira,Esfera Produções,3
2011,Cisne Negro,Ficção,Estrangeira,Fox,175
2011,Como Arrasar Um Coração,Ficção,Estrangeira,Imovision,25
2011,Como Você Sabe,Ficção,Estrangeira,Imagem,86
2011,Compramos Um Zoológico,Ficção,Estrangeira,Fox,227
2011,Conan - O Bárbaro,Ficção,Estrangeira,Califórnia,360
2011,Confiar,Ficção,Estrangeira,Imagem,16
2011,Contágio,Ficção,Estrangeira,Warner,143
2011,Contra O Tempo,Ficção,Estrangeira,Imagem,80
2011,Contracorrente,Ficção,Estrangeira,Ab Filmes,5
2011,Copacabana,Ficção,Estrangeira,Pandora Filmes,13
2011,Cópia Fiel,Ficção,Estrangeira,Imovision,13
2011,Corações Perdidos,Ficção,Estrangeira,Imagem,12
2011,Corpos Celestes,Ficção,Brasileira,Panda Filmes,8
2011,Cortina De Fumaça,Documentário,Brasileira,Tva2 Produções,2
2011,Corumbiara,Documentário,Brasileira,Panda Filmes,1
2011,Cowboys E Aliens,Ficção,Estrangeira,Paramount,311
2011,Crítico,Documentário,Brasileira,Vitrine Filmes,4
2011,Dawson Isla 10,Ficção,Brasileira,Imagem,11
2011,De Pernas Pro Ar,Ficção,Brasileira,Downtown/Paris,346
2011,Deixe-Me Entrar,Ficção,Estrangeira,Paramount,56
2011,Desaparecidos,Ficção,Brasileira,Schürmann,17
2011,Desassossego,Ficção,Brasileira,Vitrine Filmes,5
2011,Desconhecido,Ficção,Estrangeira,Warner,101
2011,Desenrola,Ficção,Brasileira,Downtown/Riofilme,134
2011,Deu A Louca Na Chapeuzinho 2,Animação,Estrangeira,Imagem,259
2011,Diário De Um Banana 2: Rodrick É O Cara,Ficção,Estrangeira,Fox,50
2011,Diário De Uma Busca,Documentário,Brasileira,Videofilmes,2
2011,Dieta Mediterrânea,Ficção,Estrangeira,Imovision,5
2011,Doce Vingança,Ficção,Estrangeira,Paris,36
2011,Domingos,Documentário,Brasileira,Gávea Filmes E Produções,1
2011,Duas Mulheres,Ficção,Brasileira,Pipa Produções,1
2011,Dylan Dog E As Criaturas Da Noite,Ficção,Estrangeira,Playarte,64
2011,E Aí Hendrix?,Documentário,Brasileira,Polifilmes,1
2011,Elvis E Madona,Ficção,Brasileira,Pipa Produções,38
2011,Em Casa Para O Natal,Ficção,Estrangeira,Imovision,2
2011,Em Um Mundo Melhor,Ficção,Estrangeira,Califórnia,6
2011,Embargo,Ficção,Brasileira,Raiz Distribuidora,1
2011,Enrolados,Animação,Estrangeira,Sony,465
2011,Entrando Numa Fria Maior Ainda Com A Família,Ficção,Estrangeira,Paramount,263
2011,Entre Segredos E Mentiras,Ficção,Estrangeira,Imagem,12
2011,Esposa De Mentirinha,Ficção,Estrangeira,Sony,284
2011,Esses Amores,Ficção,Estrangeira,Imovision,10
2011,Estamos Juntos,Ficção,Brasileira,Imagem,43
2011,Estrada Para Ythaca,Ficção,Brasileira,Vitrine Filmes,7
2011,Estrada Real Da Cachaça,Documentário,Brasileira,Vitrine Filmes,6
2011,Estranhos Normais,Ficção,Estrangeira,Pandora Filmes,5
2011,Eu Eu Eu José Lewgoy,Documentário,Brasileira,Polifilmes,1
2011,Eu Queria Ter A Sua Vida,Ficção,Estrangeira,Universal,156
2011,Eu Sou O Número Quatro,Ficção,Estrangeira,Disney,325
2011,Faça-Me Feliz,Ficção,Estrangeira,Filmes Do Estação,2
2011,Família Braz – Dois Tempos,Documentário,Brasileira,Videofilmes,10
2011,Família Vende Tudo,Ficção,Brasileira,Playarte,154
2011,Feliz Que Minha Mãe Está Viva,Ficção,Estrangeira,Imovision,4
2011,"Filhos De João, Admirável Mundo Novo Baiano",Documentário,Brasileira,Pipa Produções,18
2011,Foo Fighters Back And Forth + Show Foo Fighters 3D,Documentário,Estrangeira,Mobz,78
2011,Fora Da Lei,Ficção,Estrangeira,Califórnia,4
2011,Forças Especiais,Ficção,Estrangeira,Playarte,21
2011,Fúria Sobre Rodas,Ficção,Estrangeira,Warner,306
2011,Gainsbourg – O Homem Que Amava As Mulheres,Ficção,Estrangeira,Imovision,11
2011,Gato De Botas,Animação,Estrangeira,Paramount,753
2011,Gêmeos - Mórbida Semelhança,Ficção,Estrangeira,F.J. Vídeo,1
2011,Gigantes De Aço,Ficção,Estrangeira,Disney,515
2011,Glee 3D O Filme,Documentário,Estrangeira,Fox,86
2011,Gnomeu E Julieta,Animação,Estrangeira,Imagem,264
2011,Gosto De Sangue,Ficção,Estrangeira,F.J. Vídeo,1
2011,Guerra Dos Sexos,Ficção,Estrangeira,Paris,7
2011,Happy Feet 2,Animação,Estrangeira,Warner,365
2011,Harry Potter E As Relíquias Da Morte – Parte 2,Ficção,Estrangeira,Warner,951
2011,Hiroshima,Ficção,Estrangeira,Lume Produções Cinematográficas,2
2011,Homens E Deuses,Ficção,Estrangeira,Imovision,11
2011,Hop,Animação,Estrangeira,Universal,330
2011,Hubble 3D,Documentário,Estrangeira,Espaço Itaú De Cinema,1
2011,Ilusões Óticas,Ficção,Estrangeira,Tucumán,3
2011,Imortais,Ficção,Estrangeira,Imagem,499
2011,Incêndios,Ficção,Estrangeira,Imovision,7
2011,Incontrolável,Ficção,Estrangeira,Fox,238
2011,Inquietos,Ficção,Estrangeira,Sony,15
2011,Invasão Do Mundo: Batalha De Los Angeles,Ficção,Estrangeira,Sony,288
2011,Inverno Da Alma,Ficção,Estrangeira,Califórnia,15
2011,Inversão,Ficção,Brasileira,Califórnia,3
2011,Isto Não É Um Filme,Documentário,Estrangeira,Imovision,1
2011,Jardim Das Folhas Sagradas,Ficção,Brasileira,Polifilmes,16
2011,Jogo De Poder,Ficção,Estrangeira,Paris,74
2011,Justin Bieber: Never Say Never,Documentário,Estrangeira,Paramount,297
2011,Kung Fu Panda 2,Animação,Estrangeira,Paramount,718
2011,Lanterna Verde,Ficção,Estrangeira,Warner,354
2011,Larry Crowne - O Amor Está De Volta,Ficção,Estrangeira,Paris,188
2011,Late Bloomers – O Amor Não Tem Fim,Ficção,Estrangeira,Serendip,25
2011,Leite E Ferro,Documentário,Brasileira,Polifilmes,2
2011,Lixo Extraordinário,Documentário,Brasileira,Downtown,11
2011,Lola (2011),Ficção,Estrangeira,Lume Produções Cinematográficas,8
2011,Lope,Ficção,Brasileira,Warner,25
2011,Loup - Uma Amizade Para Sempre,Ficção,Estrangeira,Playarte,6
2011,Malu De Bicicleta,Ficção,Brasileira,Downtown/Riofilme,33
2011,Mamonas Para Sempre,Documentário,Brasileira,Europa,34
2011,Mamute,Ficção,Estrangeira,Imovision,5
2011,Manda-Chuva O Filme,Animação,Estrangeira,Playarte,277
2011,Marcha Da Vida,Documentário,Brasileira,Europa,21
2011,Margin Call – O Dia Antes Do Fim,Ficção,Estrangeira,Paris,6
2011,Medianeras: Buenos Aires Da Era Do Amor Virtual,Ficção,Estrangeira,Imovision,9
2011,Meia-Noite Em Paris,Ficção,Estrangeira,Paris,127
2011,Melancolia,Ficção,Estrangeira,Califórnia,32
2011,Meu País,Ficção,Brasileira,Imovision,42
2011,Minhas Tardes Com Margueritte,Ficção,Estrangeira,Imovision,6
2011,Missão Madrinha De Casamento,Ficção,Estrangeira,Universal,158
2011,Missão: Impossível - Protocolo Fantasma,Ficção,Estrangeira,Paramount,605
2011,Morro Do Céu,Documentário,Brasileira,Vitrine Filmes,1
2011,Mulatas! Um Tufão Nos Quadris,Documentário,Brasileira,Carioca,3
2011,Namorados Para Sempre,Ficção,Estrangeira,Paris,63
2011,Nana Caymmi Em Rio Sonata,Documentário,Estrangeira,Imovision,6
2011,Não Me Abandone Jamais,Ficção,Estrangeira,Fox,7
2011,Não Se Pode Viver Sem Amor,Ficção,Brasileira,Pandora Filmes,11
2011,"Não Se Preocupe, Nada Vai Dar Certo",Ficção,Brasileira,Imagem,121
