Ano de Lançamento,Título da obra,Gênero,Nacionalidade da obra,Empresa distribuidora,Salas no Lançamento
2009,Coco Antes De Chanel,Ficção,Estrangeira,Warner,19
2009,Código De Conduta,Ficção,Estrangeira,Imagem,132
2009,Confissões De Uma Garota De Programa,Ficção,Estrangeira,Paris,25
2009,Contratempo - Uma Valsa Da Dor,Documentário,Brasileira,Videofilmes,6
2009,Coração Vagabundo,Documentário,Brasileira,Paramount,9
2009,Coraline E O Mundo Secreto,Animação,Estrangeira,Universal,160
2009,Corpo Do Rio,Documentário,Brasileira,Pequena Central,2
2009,De Profundis,Animação,Estrangeira,Europa,4
2009,"De Repente, California",Ficção,Estrangeira,Ab Filmes,1
2009,Deixa Ela Entrar,Ficção,Estrangeira,Filmes Da Mostra,12
2009,Delírios De Consumo De Becky Bloom,Ficção,Estrangeira,Sony,78
2009,Desejo E Perigo,Ficção,Estrangeira,Europa,12
2009,Dezessete Outra Vez,Ficção,Estrangeira,Playarte,147
2009,Dia Dos Namorados Macabro 3D,Ficção,Estrangeira,Playarte,137
2009,Diário Proibido,Ficção,Estrangeira,Playarte,26
2009,Distrito 9,Ficção,Estrangeira,Sony,204
2009,Divã,Ficção,Brasileira,Downtown/Riofilme,137
2009,Do Começo Ao Fim,Ficção,Brasileira,Downtown/Riofilme,16
2009,Doce De Coco,Ficção,Brasileira,Pandora Filmes,1
2009,Dois Em Um,Ficção,Estrangeira,Pandora Filmes,4
2009,Donkey Xote,Animação,Estrangeira,Imagem,91
2009,Dragonball Evolution,Ficção,Estrangeira,Fox,155
2009,Duplicidade,Ficção,Estrangeira,Universal,50
2009,Dúvida,Ficção,Estrangeira,Sony,36
2009,É Proibido Fumar,Ficção,Brasileira,Playarte,42
2009,Efeito Borboleta: Revelação,Ficção,Estrangeira,Imagem,81
2009,Ele Não Está Tão Afim,Ficção,Estrangeira,Playarte,145
2009,Eliezer Batista - O Engenheiro Do Brasil,Documentário,Brasileira,Espaço Filmes,10
2009,Embarque Imediato,Ficção,Brasileira,Europa/Riofilme,76
2009,Encontro De Casais,Ficção,Estrangeira,Universal,166
2009,Enquanto O Sol Não Vem,Ficção,Estrangeira,Pandora Filmes,4
2009,Entre A Luz E A Sombra,Documentário,Brasileira,Videofilmes,5
2009,Entre Os Dedos,Ficção,Brasileira,Polifilmes,1
2009,Entre Os Muros Da Escola,Ficção,Estrangeira,Imovision,33
2009,Ervas Daninhas,Ficção,Estrangeira,Imovision,14
2009,Estação Espacial 3D,Documentário,Estrangeira,Espaço Itaú De Cinema,1
2009,Estórias De Trancoso,Ficção,Brasileira,Polifilmes,1
2009,Eu Odeio O Dia Dos Namorados,Ficção,Estrangeira,Playarte,132
2009,"Eu Te Amo, Cara",Ficção,Estrangeira,Paramount,81
2009,Evocando Espíritos,Ficção,Estrangeira,Imagem,139
2009,Fados,Documentário,Estrangeira,Europa,5
2009,Falando Grego,Ficção,Estrangeira,Imagem,120
2009,Fama,Ficção,Estrangeira,Playarte,88
2009,Fiel - O Filme,Documentário,Brasileira,G7 Cinema,25
2009,Filmefobia,Ficção,Brasileira,Polifilmes,5
2009,Flordelis - Basta Uma Palavra Para Mudar,Ficção,Brasileira,Serendip/Art Films,41
2009,Foi Apenas Um Sonho,Ficção,Estrangeira,Paramount,80
2009,Força G,Ficção,Estrangeira,Sony,303
2009,Força Policial,Ficção,Estrangeira,Playarte,80
2009,Frost/Nixon,Ficção,Estrangeira,Universal,10
2009,Fumando Espero,Documentário,Brasileira,Gávea Filmes E Produções,ND
2009,Fundo Do Mar 3D,Documentário,Estrangeira,Espaço Itaú De Cinema,1
2009,G.I. Joe - A Origem De Cobra,Ficção,Estrangeira,Paramount,368
2009,Gamer,Ficção,Estrangeira,Imagem,100
2009,Garapa,Documentário,Brasileira,Downtown,5
2009,Garota Infernal,Ficção,Estrangeira,Fox,46
2009,Gesto Obsceno,Ficção,Estrangeira,Moviemobz,3
2009,Gigante,Ficção,Estrangeira,Imovision,8
2009,Glória Ao Cineasta,Ficção,Estrangeira,Moviemobz,2
2009,Goodbye...Solo,Ficção,Estrangeira,Imovision,3
2009,Gran Torino,Ficção,Estrangeira,Warner,105
2009,Há Tanto Tempo Que Te Amo,Ficção,Estrangeira,Moviemobz,13
2009,Halloween - O Início,Ficção,Estrangeira,Playarte,104
2009,Hanami - Cerejeiras Em Flor,Ficção,Estrangeira,Filmes Da Mostra,10
2009,Hannah Montana - O Filme,Ficção,Estrangeira,Sony,177
2009,Harry Potter E O Enigma Do Príncipe,Ficção,Estrangeira,Warner,760
2009,Herbert De Perto,Documentário,Brasileira,Imagem,29
2009,Heróis,Ficção,Estrangeira,Paris,66
2009,High School Band,Ficção,Estrangeira,Paris,81
2009,"Home - Nosso Planeta, Nossa Casa",Documentário,Estrangeira,Europa,28
2009,Honeydripper,Ficção,Estrangeira,Imovision,3
2009,Horas De Verão,Ficção,Estrangeira,Filmes Da Mostra,5
2009,Hotel Atlântico,Ficção,Brasileira,Espaço Filmes,22
2009,Import Export,Ficção,Estrangeira,Filmes Da Mostra,4
2009,Inimigo Publico Nº 1 - Instinto De Morte,Ficção,Estrangeira,Califórnia,6
2009,Inimigos Públicos,Ficção,Estrangeira,Universal,217
2009,Intrigas De Estado,Ficção,Estrangeira,Universal,115
2009,Inútil,Documentário,Estrangeira,Filmes Da Mostra,3
2009,Iron Maiden: Flight 666,Documentário,Estrangeira,Moviemobz,47
2009,Jean Charles,Ficção,Brasileira,Imagem,167
2009,Jogando Com Prazer,Ficção,Estrangeira,Imagem,50
2009,Jogo Entre Ladrões,Ficção,Estrangeira,Imagem,101
2009,Jogos Mortais 6,Ficção,Estrangeira,Sony,204
