,Ano de Lançamento,Título da obra,Gênero,Nacionalidade da obra,Empresa distribuidora,Salas no Lançamento
751,2011,Família Vende Tudo,Ficção,Brasileira,Playarte,154
617,2010,Wall Street: O Dinheiro Nunca Dorme,Ficção,Estrangeira,Fox,153
269,2009,Surpresas Do Amor,Ficção,Estrangeira,Playarte,153
686,2011,Bravura Indômita,Ficção,Estrangeira,Paramount,153
261,2009,Sim Senhor,Ficção,Estrangeira,Warner,152
866,2011,Passe Livre,Ficção,Estrangeira,Warner,151
331,2010,A Hora Do Pesadelo,Ficção,Estrangeira,Warner,151
368,2010,As Melhores Coisas Do Mundo,Ficção,Brasileira,Warner/Riofilme,151
840,2011,O Ritual,Ficção,Estrangeira,Warner,150
94,2009,Dezessete Outra Vez,Ficção,Estrangeira,Playarte,147
67,2009,Besouro,Ficção,Brasileira,Sony,145
108,2009,Ele Não Está Tão Afim,Ficção,Estrangeira,Playarte,145
907,2011,Sexo Sem Compromisso,Ficção,Estrangeira,Paramount,144
706,2011,Contágio,Ficção,Estrangeira,Warner,143
545,2010,Plano B,Ficção,Estrangeira,Sony,142
178,2009,Matadores De Vampiras Lésbicas,Ficção,Estrangeira,Imagem,141
386,2010,Caso 39,Ficção,Estrangeira,Paramount,140
121,2009,Evocando Espíritos,Ficção,Estrangeira,Imagem,139
229,2009,Pagando Bem Que Mal Tem?,Ficção,Estrangeira,Imagem,139
271,2009,Te Amarei Para Sempre,Ficção,Estrangeira,Playarte,138
5,2009,9 - A Salvação,Animação,Estrangeira,Playarte,138
95,2009,Dia Dos Namorados Macabro 3D,Ficção,Estrangeira,Playarte,137
98,2009,Divã,Ficção,Brasileira,Downtown/Riofilme,137
381,2010,Caçador De Recompensas,Ficção,Estrangeira,Sony,136
723,2011,Desenrola,Ficção,Brasileira,Downtown/Riofilme,134
573,2010,Skyline - A Invasão,Ficção,Estrangeira,Playarte,133
290,2009,Um Hotel Bom Pra Cachorro,Ficção,Estrangeira,Paramount,133
119,2009,Eu Odeio O Dia Dos Namorados,Ficção,Estrangeira,Playarte,132
83,2009,Código De Conduta,Ficção,Estrangeira,Imagem,132
659,2011,Amor A Toda Prova,Ficção,Estrangeira,Warner,131
654,2011,Água Para Elefantes,Ficção,Estrangeira,Fox,130
200,2009,O Corajoso Ratinho Despereaux,Animação,Estrangeira,Universal,130
305,2009,Verônica,Ficção,Brasileira,Europa,129
490,2010,O Amor Acontece,Ficção,Estrangeira,Playarte,128
800,2011,Meia-Noite Em Paris,Ficção,Estrangeira,Paris,127
836,2011,O Preço Do Amanhã,Ficção,Estrangeira,Fox,126
535,2010,Os Vampiros Que Se Mordam,Ficção,Estrangeira,Fox,126
846,2011,O Vencedor,Ficção,Estrangeira,Imagem,124
385,2010,Cartas Para Julieta,Ficção,Estrangeira,Paris,124
184,2009,Minhas Adoráveis Ex-Namoradas,Ficção,Estrangeira,Playarte,124
177,2009,Marido Por Acaso,Ficção,Estrangeira,Playarte,123
904,2011,Sem Limites,Ficção,Estrangeira,Imagem,122
211,2009,O Grilo Feliz E Os Insetos Gigantes,Animação,Brasileira,Fox,122
321,2010,72 Horas,Ficção,Estrangeira,Imagem,121
812,2011,"Não Se Preocupe, Nada Vai Dar Certo",Ficção,Brasileira,Imagem,121
41,2009,Alma Perdida,Ficção,Estrangeira,Universal,120
539,2010,Par Perfeito,Ficção,Estrangeira,Imagem,120
123,2009,Falando Grego,Ficção,Estrangeira,Imagem,120
693,2011,Capitães Da Areia,Ficção,Brasileira,Imagem,119
268,2009,Substitutos,Ficção,Estrangeira,Sony,119
354,2010,Amor À Distância,Ficção,Estrangeira,Warner,117
604,2010,Um Sonho Possível,Ficção,Estrangeira,Warner,115
158,2009,Intrigas De Estado,Ficção,Estrangeira,Universal,115
373,2010,Atraídos Pelo Crime,Ficção,Estrangeira,Califórnia,114
567,2010,Senna,Documentário,Estrangeira,Universal,111
814,2011,Não Tenha Medo Do Escuro,Ficção,Estrangeira,Vinny Filmes,111
11,2009,A Festa Do Garfield,Animação,Estrangeira,Playarte,110
884,2011,Quero Matar Meu Chefe,Ficção,Estrangeira,Warner,110
555,2010,Quincas Berro D'Água,Ficção,Brasileira,Sony,107
142,2009,Gran Torino,Ficção,Estrangeira,Warner,105
144,2009,Halloween - O Início,Ficção,Estrangeira,Playarte,104
16,2009,A Montanha Enfeitiçada,Ficção,Estrangeira,Sony,104
640,2011,A Garota Da Capa Vermelha,Ficção,Estrangeira,Warner,104
689,2011,Burlesque,Ficção,Estrangeira,Sony,104
467,2010,Marmaduke,Ficção,Estrangeira,Fox,103
646,2011,A Morte E Vida De Charlie,Ficção,Estrangeira,Universal,102
675,2011,Atividade Paranormal Em Tóquio,Ficção,Estrangeira,Playarte,102
244,2009,Quarentena,Ficção,Estrangeira,Sony,102
656,2011,Além Da Vida,Ficção,Estrangeira,Warner,101
163,2009,Jogo Entre Ladrões,Ficção,Estrangeira,Imagem,101
722,2011,Desconhecido,Ficção,Estrangeira,Warner,101
135,2009,Gamer,Ficção,Estrangeira,Imagem,100
660,2011,Amor E Outras Drogas,Ficção,Estrangeira,Fox,100
404,2010,Demônio,Ficção,Estrangeira,Universal,100
813,2011,Não Sei Como Ela Consegue,Ficção,Estrangeira,Imagem,99
29,2009,A Troca,Ficção,Estrangeira,Universal,98
910,2011,Sobrenatural,Ficção,Estrangeira,Playarte,98
449,2010,Jackass 3D,Ficção,Estrangeira,Paramount,94
851,2011,Os Agentes Do Destino,Ficção,Estrangeira,Universal,93
199,2009,O Contador De Histórias,Ficção,Brasileira,Warner,93
280,2009,Tô De Férias,Animação,Estrangeira,Paris,91
102,2009,Donkey Xote,Animação,Estrangeira,Imagem,91
