,Ano de Lançamento,Título da obra,Gênero,Nacionalidade da obra,Empresa distribuidora,Salas no Lançamento
612,2010,Vida Sobre Rodas,Documentário,Brasileira,Sony,17
720,2011,Desaparecidos,Ficção,Brasileira,Schürmann,17
22,2009,A Partida,Ficção,Estrangeira,Paris,17
528,2010,Ondine,Ficção,Estrangeira,Imagem,17
657,2011,Amanhã Nunca Mais,Ficção,Brasileira,Fox,17
633,2011,A Chave De Sarah,Ficção,Estrangeira,Imagem,17
883,2011,Quebrando O Tabu,Documentário,Brasileira,Espaço Filmes,16
419,2010,Em Teu Nome,Ficção,Brasileira,Accorde Audiovisuais,16
705,2011,Confiar,Ficção,Estrangeira,Imagem,16
7,2009,A Era Da Estupidez,Documentário,Estrangeira,Moviemobz,16
781,2011,Jardim Das Folhas Sagradas,Ficção,Brasileira,Polifilmes,16
496,2010,O Concerto,Ficção,Estrangeira,Paris,16
99,2009,Do Começo Ao Fim,Ficção,Brasileira,Downtown/Riofilme,16
899,2011,Santa Paciência,Ficção,Estrangeira,Imagem,16
776,2011,Inquietos,Ficção,Estrangeira,Sony,15
677,2011,Bahêa Minha Vida,Documentário,Brasileira,Paris,15
401,2010,Coração Louco,Ficção,Estrangeira,Fox,15
190,2009,Ninho Vazio,Ficção,Estrangeira,Imovision,15
778,2011,Inverno Da Alma,Ficção,Estrangeira,Califórnia,15
595,2010,Um Homem Misterioso,Ficção,Estrangeira,Universal,15
31,2009,A Vida Íntima De Pippa Lee,Ficção,Estrangeira,Playarte,15
198,2009,O Casamento De Rachel,Ficção,Estrangeira,Sony,15
877,2011,Pronto Para Recomeçar,Ficção,Estrangeira,Playarte,15
254,2009,Se Nada Mais Der Certo,Ficção,Brasileira,Imovision,14
506,2010,O Homem Que Engarrafava Nuvens,Documentário,Brasileira,Espaço Filmes,14
73,2009,Caramelo,Ficção,Estrangeira,Imovision,14
19,2009,A Onda,Ficção,Estrangeira,Moviemobz,14
116,2009,Ervas Daninhas,Ficção,Estrangeira,Imovision,14
525,2010,Oceanos,Documentário,Estrangeira,Playarte,14
334,2010,A Mente Que Mente,Ficção,Estrangeira,Europa,14
49,2009,Anticristo,Ficção,Estrangeira,Califórnia,14
615,2010,"Vittorio De Sica – Minha Vida, Meus Amores",Documentário,Estrangeira,Serendip,14
360,2010,Antes Que O Mundo Acabe,Ficção,Brasileira,Imagem,13
42,2009,Almoço Em Agosto,Ficção,Estrangeira,Imovision,13
710,2011,Cópia Fiel,Ficção,Estrangeira,Imovision,13
709,2011,Copacabana,Ficção,Estrangeira,Pandora Filmes,13
579,2010,Soul Kitchen,Ficção,Estrangeira,Imovision,13
143,2009,Há Tanto Tempo Que Te Amo,Ficção,Estrangeira,Moviemobz,13
415,2010,Educação,Ficção,Estrangeira,Sony,13
412,2010,Dois Irmãos,Ficção,Estrangeira,Imovision,13
594,2010,Um Doce Olhar,Ficção,Estrangeira,Paris,12
292,2009,Um Namorado Para Minha Esposa,Ficção,Estrangeira,Paris,12
15,2009,A Janela,Ficção,Estrangeira,Imovision,12
212,2009,O Grupo Baader Meinhof,Ficção,Estrangeira,Imagem,12
711,2011,Corações Perdidos,Ficção,Estrangeira,Imagem,12
402,2010,Criação,Ficção,Estrangeira,Imagem,12
553,2010,Quando Me Apaixono,Ficção,Estrangeira,Europa,12
637,2011,A Falta Que Nos Move,Ficção,Brasileira,Espaço Filmes,12
661,2011,Amor?,Ficção,Brasileira,Copacabana Filmes,12
739,2011,Entre Segredos E Mentiras,Ficção,Estrangeira,Imagem,12
325,2010,A Casa Verde,Ficção,Brasileira,Accorde Audiovisuais,12
91,2009,Deixa Ela Entrar,Ficção,Estrangeira,Filmes Da Mostra,12
630,2011,A Casa,Ficção,Estrangeira,Playarte,12
279,2009,Titãs - A Vida Até Parece Uma Festa,Documentário,Brasileira,Moviemobz,12
191,2009,No Meu Lugar,Ficção,Brasileira,Downtown/Videofilmes,12
842,2011,O Sequestro De Um Herói,Ficção,Estrangeira,Serendip,12
93,2009,Desejo E Perigo,Ficção,Estrangeira,Europa,12
829,2011,O Mágico,Animação,Estrangeira,Playarte,12
819,2011,O Casamento Do Meu Ex,Ficção,Estrangeira,Paris,11
717,2011,Dawson Isla 10,Ficção,Brasileira,Imagem,11
789,2011,Lixo Extraordinário,Documentário,Brasileira,Downtown,11
758,2011,Gainsbourg – O Homem Que Amava As Mulheres,Ficção,Estrangeira,Imovision,11
811,2011,Não Se Pode Viver Sem Amor,Ficção,Brasileira,Pandora Filmes,11
655,2011,Além Da Estrada,Ficção,Brasileira,Vitrine Filmes,11
769,2011,Homens E Deuses,Ficção,Estrangeira,Imovision,11
463,2010,Machete,Ficção,Estrangeira,Sony,11
890,2011,Reidy – A Construção Da Utopia,Documentário,Brasileira,Espaço Filmes,11
145,2009,Hanami - Cerejeiras Em Flor,Ficção,Estrangeira,Filmes Da Mostra,10
109,2009,Eliezer Batista - O Engenheiro Do Brasil,Documentário,Brasileira,Espaço Filmes,10
897,2011,Românticos Anônimos,Ficção,Estrangeira,Imovision,10
683,2011,Bollywood Dream – O Sonho Bollywoodiano,Ficção,Brasileira,Espaço Filmes,10
440,2010,Histórias De Amor Duram Apenas 90 Minutos,Ficção,Brasileira,Downtown/Riofilme,10
680,2011,Belair,Documentário,Brasileira,Pipa Produções,10
530,2010,Os Famosos E Os Duendes Da Morte,Ficção,Brasileira,Warner,10
666,2011,As Canções,Documentário,Brasileira,Espaço Filmes,10
376,2010,Baaria - A Porta Do Vento,Ficção,Estrangeira,Paris,10
353,2010,Amélia,Ficção,Estrangeira,Fox,10
289,2009,Um Homem De Moral,Documentário,Brasileira,Superfilmes,10
741,2011,Esses Amores,Ficção,Estrangeira,Imovision,10
442,2010,Homens Que Encaravam Cabras,Ficção,Estrangeira,Sony,10
892,2011,Restrepo,Documentário,Estrangeira,Europa,10
131,2009,Frost/Nixon,Ficção,Estrangeira,Universal,10
351,2010,Almas À Venda,Ficção,Estrangeira,Europa,10
750,2011,Família Braz – Dois Tempos,Documentário,Brasileira,Videofilmes,10
627,2011,A Árvore,Ficção,Estrangeira,Pandora Filmes,10
255,2009,Segredos Íntimos,Ficção,Estrangeira,Paris,9
532,2010,Os Inquilinos,Ficção,Brasileira,Pandora Filmes,9
445,2010,"Índia, Amor E Outras Delícias",Ficção,Estrangeira,Serendip,9
697,2011,Chuva,Ficção,Estrangeira,Panda Filmes,9
25,2009,A Procura De Eric,Ficção,Estrangeira,Califórnia,9
560,2010,"Rita Cadillac, A Lady Do Povo",Documentário,Brasileira,Espaço Filmes,9
230,2009,Palavra (En)Cantada,Documentário,Brasileira,Filmes Do Estação,9
232,2009,Partir,Ficção,Estrangeira,Imovision,9
409,2010,Diário Perdido,Ficção,Estrangeira,Imovision,9
878,2011,Prova De Artista,Documentário,Brasileira,Formosa Filmes,9
32,2009,A Vida Secreta Das Abelhas,Ficção,Estrangeira,Fox,9
825,2011,O Gringo,Documentário,Estrangeira,Pipa Produções,9
86,2009,Coração Vagabundo,Documentário,Brasileira,Paramount,9
610,2010,"Viajo Porque Preciso, Volto Porque Te Amo",Ficção,Brasileira,Espaço Filmes,9
799,2011,Medianeras: Buenos Aires Da Era Do Amor Virtual,Ficção,Estrangeira,Imovision,9
355,2010,Amor Extremo,Ficção,Estrangeira,Imagem,8
712,2011,Corpos Celestes,Ficção,Brasileira,Panda Filmes,8
585,2010,The Big Four,Videomusical,Estrangeira,Moviemobz,8
330,2010,A Guerra Dos Vizinhos,Ficção,Brasileira,Polifilmes,8
518,2010,O Que Resta Do Tempo,Ficção,Estrangeira,Imovision,8
291,2009,Um Lobisomem Na Amazônia,Ficção,Brasileira,Polifilmes/Topázio Filmes,8
38,2009,Algo Que Você Precisa Saber,Ficção,Estrangeira,Imovision,8
340,2010,A Riviera Não É Aqui,Ficção,Estrangeira,Imagem,8
349,2010,Ah... O Amor!,Ficção,Estrangeira,Serendip,8
421,2010,Enfim Viúva,Ficção,Estrangeira,Pandora Filmes,8
187,2009,Moscou,Documentário,Brasileira,Videofilmes,8
901,2011,Saturno Em Oposição,Ficção,Estrangeira,Petrini,8
81,2009,Cinzas Do Passado Redux,Ficção,Estrangeira,Imagem,8
139,2009,Gigante,Ficção,Estrangeira,Imovision,8
301,2009,Valsa Com Bashir,Animação,Estrangeira,Sony,8
622,2011,180º,Ficção,Brasileira,Pandora Filmes,8
790,2011,Lola (2011),Ficção,Estrangeira,Lume Produções Cinematográficas,8
845,2011,O Último Voo Do Flamingo,Ficção,Brasileira,Videofilmes,7
820,2011,O Céu Sobre Os Ombros,Ficção,Brasileira,Vitrine Filmes,7
243,2009,Quanto Dura O Amor?,Ficção,Brasileira,Pandora Filmes,7
810,2011,Não Me Abandone Jamais,Ficção,Estrangeira,Fox,7
765,2011,Guerra Dos Sexos,Ficção,Estrangeira,Paris,7
346,2010,A Vida Durante A Guerra,Ficção,Estrangeira,Imagem,7
743,2011,Estrada Para Ythaca,Ficção,Brasileira,Vitrine Filmes,7
2,2009,23 Anos Em 7 Segundos: 1977 - O Fim Do Jejum Corinthiano,Documentário,Brasileira,Fox,7
774,2011,Incêndios,Ficção,Estrangeira,Imovision,7
197,2009,O Caçador,Ficção,Estrangeira,Imovision,7
844,2011,O Último Dançarino De Mao,Ficção,Estrangeira,Califórnia,7
551,2010,Procurando Elly,Ficção,Estrangeira,Imovision,7
552,2010,"Programa Casé – O Que A Gente Não Inventa, Não Existe",Documentário,Brasileira,Espaço Filmes,7
222,2009,O Visitante,Ficção,Estrangeira,Moviemobz,6
465,2010,Mais Que O Máximo,Ficção,Estrangeira,Imovision,6
403,2010,Cyrus,Ficção,Estrangeira,Fox,6
827,2011,O Homem Ao Lado,Ficção,Estrangeira,Imovision,6
10,2009,A Festa Da Menina Morta,Ficção,Brasileira,Imovision,6
231,2009,Paris,Ficção,Estrangeira,Pandora Filmes,6
35,2009,Aconteceu Em Woodstock,Ficção,Estrangeira,Universal,6
529,2010,Os Estados Unidos Contra John Lennon,Documentário,Estrangeira,Filmes Da Mostra,6
798,2011,Margin Call – O Dia Antes Do Fim,Ficção,Estrangeira,Paris,6
684,2011,Borboletas Negras,Ficção,Estrangeira,Imovision,6
803,2011,Minhas Tardes Com Margueritte,Ficção,Estrangeira,Imovision,6
652,2011,A Viagem De Lucia,Ficção,Estrangeira,Ab Filmes,6
499,2010,O Estudante (2010),Ficção,Estrangeira,Califórnia,6
597,2010,Um Homem Sério,Ficção,Estrangeira,Universal,6
513,2010,O Mundo Imaginário Do Dr. Parnassus,Ficção,Estrangeira,Sony,6
792,2011,Loup - Uma Amizade Para Sempre,Ficção,Estrangeira,Playarte,6
584,2010,Tetro,Ficção,Estrangeira,Imovision,6
156,2009,Inimigo Publico Nº 1 - Instinto De Morte,Ficção,Estrangeira,Califórnia,6
903,2011,"Se Não Nós, Quem?",Ficção,Estrangeira,Imovision,6
264,2009,"Sinédoque, Nova Iorque",Ficção,Estrangeira,Imagem,6
494,2010,O Bom Coração,Ficção,Estrangeira,Imovision,6
85,2009,Contratempo - Uma Valsa Da Dor,Documentário,Brasileira,Videofilmes,6
267,2009,Stella,Ficção,Estrangeira,Imovision,6
414,2010,Dzi Croquettes,Documentário,Brasileira,Imovision,6
536,2010,Pachamama,Documentário,Brasileira,Videofilmes,6
481,2010,"Não, Minha Filha, Você Não Irá Dançar",Ficção,Estrangeira,Imovision,6
248,2009,Rio Congelado,Ficção,Estrangeira,Sony,6
517,2010,O Profeta,Ficção,Estrangeira,Sony,6
809,2011,Nana Caymmi Em Rio Sonata,Documentário,Estrangeira,Imovision,6
744,2011,Estrada Real Da Cachaça,Documentário,Brasileira,Vitrine Filmes,6
816,2011,No Olho Da Rua,Ficção,Brasileira,Leão Filmes,6
735,2011,Em Um Mundo Melhor,Ficção,Estrangeira,Califórnia,6
696,2011,"Chantal Akerman, De Cá",Documentário,Brasileira,Vitrine Filmes,6
653,2011,"Adeus, Primeiro Amor",Ficção,Estrangeira,Imovision,6
217,2009,O Milagre De Santa Luzia,Documentário,Brasileira,Miração Filmes,6
841,2011,O Samba Que Mora Em Mim,Documentário,Brasileira,Pandora Filmes,5
122,2009,Fados,Documentário,Estrangeira,Europa,5
347,2010,Abutres,Ficção,Estrangeira,Paris,5
815,2011,Natimorto,Ficção,Brasileira,Camisa Treze,5
745,2011,Estranhos Normais,Ficção,Estrangeira,Pandora Filmes,5
521,2010,O Sol Do Meio-Dia,Ficção,Brasileira,Pandora Filmes,5
207,2009,O Fantástico Senhor Raposo,Animação,Estrangeira,Fox,5
66,2009,Bem-Vindo,Ficção,Estrangeira,Imovision,5
540,2010,Patrick 1.5,Ficção,Estrangeira,Ab Filmes,5
895,2011,Riscado,Ficção,Brasileira,Filmes Do Estação,5
721,2011,Desassossego,Ficção,Brasileira,Vitrine Filmes,5
113,2009,Entre A Luz E A Sombra,Documentário,Brasileira,Videofilmes,5
853,2011,Os Monstros,Ficção,Brasileira,Vitrine Filmes,5
639,2011,A Fuga Da Mulher Gorila,Ficção,Brasileira,Vitrine Filmes,5
662,2011,Amores Imaginários,Ficção,Estrangeira,Ab Filmes,5
136,2009,Garapa,Documentário,Brasileira,Downtown,5
294,2009,Um Segredo Em Família,Ficção,Estrangeira,Filmes Do Estação,5
592,2010,Tulpan,Ficção,Estrangeira,Filmes Da Mostra,5
79,2009,"Cinderelas, Lobos E Um Príncipe Encantado",Documentário,Brasileira,Pipa Produções,5
309,2009,Vitus,Ficção,Estrangeira,Filmes Da Mostra,5
708,2011,Contracorrente,Ficção,Estrangeira,Ab Filmes,5
311,2009,W.,Ficção,Estrangeira,Filmes Do Estação,5
126,2009,Filmefobia,Ficção,Brasileira,Polifilmes,5
541,2010,Pecado Da Carne,Ficção,Estrangeira,Ab Filmes,5
478,2010,Mother - A Busca Pela Verdade,Ficção,Estrangeira,Paris,5
498,2010,O Estranho Em Mim,Ficção,Estrangeira,Filmes Da Mostra,5
50,2009,Apenas O Fim,Ficção,Brasileira,Filmes Do Estação,5
727,2011,Dieta Mediterrânea,Ficção,Estrangeira,Imovision,5
596,2010,Um Homem Que Grita,Ficção,Estrangeira,Bonfilm,5
629,2011,A Árvore Do Amor,Ficção,Estrangeira,Serendip,5
335,2010,À Moda Da Casa,Ficção,Estrangeira,Pandora Filmes,5
179,2009,Mataram Irmã Dorothy,Documentário,Estrangeira,Moviemobz,5
568,2010,Sentimento De Culpa,Ficção,Estrangeira,Sony,5
795,2011,Mamute,Ficção,Estrangeira,Imovision,5
881,2011,Que Mais Posso Querer,Ficção,Estrangeira,Petrini,5
153,2009,Horas De Verão,Ficção,Estrangeira,Filmes Da Mostra,5
837,2011,O Primeiro Que Disse,Ficção,Estrangeira,Imovision,5
464,2010,Mademoiselle Chambon,Ficção,Estrangeira,Imovision,5
239,2009,"Polícia, Adjetivo",Ficção,Estrangeira,Imovision,5
542,2010,Pecados Do Meu Pai,Documentário,Estrangeira,Serendip,4
155,2009,Import Export,Ficção,Estrangeira,Filmes Da Mostra,4
54,2009,As Cantoras Do Rádio,Documentário,Brasileira,Panda Filmes,4
678,2011,Balada Triste,Ficção,Estrangeira,Serendip,4
299,2009,Uma Vida Sem Regras,Ficção,Estrangeira,Paris,4
586,2010,The Runaways - Garotas Do Rock,Ficção,Estrangeira,Paris,4
716,2011,Crítico,Documentário,Brasileira,Vitrine Filmes,4
101,2009,Dois Em Um,Ficção,Estrangeira,Pandora Filmes,4
13,2009,A Garota Ideal,Ficção,Estrangeira,Califórnia,4
676,2011,Avenida Brasília Formosa,Documentário,Brasileira,Vitrine Filmes,4
312,2009,"Waldick, Sempre No Meu Coração",Documentário,Brasileira,Pequena Central,4
33,2009,Abba O Filme,Documentário,Estrangeira,Moviemobz,4
89,2009,De Profundis,Animação,Estrangeira,Europa,4
323,2010,A Bruxinha E O Dragão,Ficção,Estrangeira,Europa,4
752,2011,Feliz Que Minha Mãe Está Viva,Ficção,Estrangeira,Imovision,4
375,2010,B1 - Tenório Em Pequim,Documentário,Brasileira,Espaço Filmes,4
755,2011,Fora Da Lei,Ficção,Estrangeira,Califórnia,4
600,2010,Um Novo Caminho,Ficção,Estrangeira,Imovision,4
477,2010,"Moscou, Bélgica",Ficção,Estrangeira,Filmes Da Mostra,4
366,2010,As Cartas Psicografadas Por Chico Xavier,Documentário,Brasileira,Ciclorama Filmes,4
39,2009,Alguém Que Me Ame De Verdade,Ficção,Estrangeira,Moviemobz,4
645,2011,A Missão Do Gerente De Recursos Humanos,Ficção,Estrangeira,Imovision,4
495,2010,O Ciúme Mora Ao Lado,Ficção,Estrangeira,Imovision,4
428,2010,Filme Socialismo,Ficção,Estrangeira,Imovision,4
417,2010,Elza,Documentário,Brasileira,Gávea Filmes E Produções,4
12,2009,A Garota De Mônaco,Ficção,Estrangeira,Imovision,4
112,2009,Enquanto O Sol Não Vem,Ficção,Estrangeira,Pandora Filmes,4
227,2009,Ouro Negro,Ficção,Brasileira,Pandora Filmes,4
826,2011,O Guarda,Ficção,Estrangeira,Sony,4
234,2009,Patativa Do Assaré - Ave Poesia,Documentário,Brasileira,Sereia Filmes,4
235,2009,Paulo Gracindo - O Bem Amado,Documentário,Brasileira,Filmes Do Estação,4
564,2010,Sede De Sangue,Ficção,Estrangeira,Paris,4
46,2009,Anabazys,Documentário,Brasileira,Riofilme,4
250,2009,Rumba,Ficção,Estrangeira,Filmes Do Estação,3
75,2009,Casamento Silencioso,Ficção,Estrangeira,Imovision,3
188,2009,Nada Vai Nos Separar,Documentário,Brasileira,G7 Cinema,3
295,2009,Um Taxi Para A Escuridão,Documentário,Estrangeira,Moviemobz,3
378,2010,Bellini E O Demônio,Ficção,Brasileira,Santa Fé Filmes,3
772,2011,Ilusões Óticas,Ficção,Estrangeira,Tucumán,3
138,2009,Gesto Obsceno,Ficção,Estrangeira,Moviemobz,3
322,2010,A Alma Do Osso,Documentário,Brasileira,Filmes Do Rio De Janeiro,3
310,2009,"Vocês, Os Vivos",Ficção,Estrangeira,Filmes Da Mostra,3
152,2009,Honeydripper,Ficção,Estrangeira,Imovision,3
364,2010,Aproximação,Ficção,Estrangeira,Pandora Filmes,3
159,2009,Inútil,Documentário,Estrangeira,Filmes Da Mostra,3
173,2009,Lição De Amor,Ficção,Estrangeira,Califórnia,3
818,2011,O Amor Chega Tarde,Ficção,Estrangeira,Esfera Produções,3
180,2009,Mesa De Bar Onde Tudo Acontece,Ficção,Brasileira,Mirasul,3
168,2009,Katyn,Ficção,Estrangeira,Moviemobz,3
317,2010,15 Anos E Meio,Ficção,Estrangeira,Pandora Filmes,3
204,2009,O Diário De Sintra,Documentário,Brasileira,Moviemobz/Riofilme,3
195,2009,Novo Século Americano,Documentário,Estrangeira,Moviemobz,3
68,2009,Bons Costumes,Ficção,Estrangeira,Sony,3
807,2011,Mulatas! Um Tufão Nos Quadris,Documentário,Brasileira,Carioca,3
172,2009,Lanchonete Olympia,Ficção,Estrangeira,Moviemobz,3
779,2011,Inversão,Ficção,Brasileira,Califórnia,3
141,2009,Goodbye...Solo,Ficção,Estrangeira,Imovision,3
391,2010,Cildo,Documentário,Brasileira,Videofilmes,3
821,2011,O Dia Em Que Eu Não Nasci,Ficção,Estrangeira,Serendip,3
913,2011,Submarino,Ficção,Estrangeira,Lume Produções Cinematográficas,3
582,2010,"Terra Deu, Terra Come",Documentário,Brasileira,Videofilmes,3
626,2011,A Antropóloga,Ficção,Brasileira,Imagem,3
625,2011,A Alegria,Ficção,Brasileira,Espaço Filmes,3
635,2011,A Criança Da Meia-Noite,Ficção,Estrangeira,Imovision,3
446,2010,Insolação,Ficção,Brasileira,Europa,3
911,2011,Solidão E Fé,Documentário,Brasileira,Miração Filmes,3
563,2010,Scott Pilgrim Contra O Mundo,Ficção,Estrangeira,Universal,3
426,2010,Eu Matei Minha Mãe,Ficção,Estrangeira,Ab Filmes,3
692,2011,Caminho Para O Nada,Ficção,Estrangeira,Lume Produções Cinematográficas,3
519,2010,O Refúgio,Ficção,Estrangeira,Imovision,3
14,2009,A Ilha Da Morte,Ficção,Brasileira,Imovision,3
514,2010,O Pecado De Hadewijch,Ficção,Estrangeira,Imovision,3
510,2010,O Louco Amor De Yves Saint Laurent,Documentário,Estrangeira,Serendip,3
699,2011,Cinco Dias Sem Nora,Ficção,Estrangeira,Esfera Produções,3
491,2010,O Amor Segundo B. Schianberg,Ficção,Brasileira,Espaço Filmes,3
450,2010,Jards Macalé - Um Morcego Na Porta Principal,Documentário,Brasileira,Moviemobz,3
870,2011,Poesia,Ficção,Estrangeira,Imovision,3
398,2010,Confusões Em Família,Ficção,Estrangeira,Imagem,3
788,2011,Leite E Ferro,Documentário,Brasileira,Polifilmes,2
504,2010,O Grão,Ficção,Brasileira,Usina Digital,2
0,2009,1983.. O Ano Azul,Documentário,Brasileira,Prana Filmes,2
400,2010,Contos Da Era Dourada,Ficção,Estrangeira,Imovision,2
749,2011,Faça-Me Feliz,Ficção,Estrangeira,Filmes Do Estação,2
906,2011,Sequestro,Documentário,Brasileira,Downtown,2
867,2011,Passione,Documentário,Estrangeira,Paris,2
459,2010,London River - Destinos Cruzados,Ficção,Estrangeira,Califórnia,2
37,2009,Alexandra,Ficção,Estrangeira,Filmes Do Estação,2
734,2011,Em Casa Para O Natal,Ficção,Estrangeira,Imovision,2
390,2010,Cidade De Plástico,Ficção,Brasileira,Paris,2
726,2011,Diário De Uma Busca,Documentário,Brasileira,Videofilmes,2
434,2010,"Godard, Truffaut E A Nouvelle Vague",Documentário,Estrangeira,Imovision,2
293,2009,Um Romance De Geração,Ficção,Brasileira,Filmes Do Estação,2
473,2010,"Minha Terra, África",Ficção,Estrangeira,Imovision,2
768,2011,Hiroshima,Ficção,Estrangeira,Lume Produções Cinematográficas,2
52,2009,Arranca-Me A Vida,Ficção,Estrangeira,Fox,2
909,2011,Singularidades De Uma Rapariga Loira,Ficção,Estrangeira,Filmes Da Mostra,2
205,2009,O Equilibrista,Documentário,Estrangeira,Califórnia,2
218,2009,O Nome Dela É Sabine,Documentário,Estrangeira,Filmes Do Estação,2
57,2009,Atrizes,Ficção,Estrangeira,Pandora Filmes,2
241,2009,Praça Saens Peña,Ficção,Brasileira,Moviemobz/Riofilme,2
247,2009,Rindo A Toa,Ficção,Estrangeira,Califórnia,2
3,2009,3 Macacos,Ficção,Estrangeira,Imovision,2
471,2010,Meu Mundo Em Perigo,Ficção,Brasileira,Vitrine Filmes,2
435,2010,Grêmio 10X0,Documentário,Brasileira,G7 Cinema,2
908,2011,Simples Mortais,Ficção,Brasileira,Polifilmes,2
78,2009,Cidadão Boilesen,Documentário,Brasileira,Imovision,2
316,2009,Zico Na Rede,Documentário,Brasileira,Business Telecom,2
623,2011,2012 - Tempo De Mudança,Documentário,Estrangeira,Vitrine Filmes,2
580,2010,Supremacia Vermelha,Documentário,Brasileira,G7 Cinema,2
603,2010,Um Quarto Em Roma,Ficção,Estrangeira,Imovision,2
860,2011,Outubro,Ficção,Estrangeira,Filmes Da Mostra,2
631,2011,A Casa De Sandro,Documentário,Brasileira,Enquadramento Produções,2
861,2011,Pacific,Documentário,Brasileira,Vitrine Filmes,2
140,2009,Glória Ao Cineasta,Ficção,Estrangeira,Moviemobz,2
88,2009,Corpo Do Rio,Documentário,Brasileira,Pequena Central,2
583,2010,Terras,Documentário,Brasileira,Vitrine Filmes,2
871,2011,Ponto Final,Ficção,Brasileira,Pipa Produções,2
486,2010,No Meio Do Mundo,Documentário,Estrangeira,Pipa Produções,2
713,2011,Cortina De Fumaça,Documentário,Brasileira,Tva2 Produções,2
482,2010,Napoli Napoli Napoli,Ficção,Estrangeira,Paris,2
483,2010,Netto E O Domador De Cavalos,Ficção,Brasileira,Walper Ruas,2
70,2009,Br-3 Documentário,Documentário,Brasileira,Casa Azul,2
51,2009,Aquele Querido Mês De Agosto,Ficção,Estrangeira,Filmes Do Estação,2
182,2009,Milagre Em Sta. Anna,Ficção,Estrangeira,Califórnia,2
171,2009,Kurt Cobain - Retrato De Uma Ausência,Documentário,Estrangeira,Pandora Filmes,1
624,2011,4 X Timão - A Conquista Do Tetra,Documentário,Brasileira,Fox,1
830,2011,O Mineiro E O Queijo,Documentário,Brasileira,Espaço Filmes,1
169,2009,Kfz-1348,Documentário,Brasileira,Rec Produtores,1
780,2011,Isto Não É Um Filme,Documentário,Estrangeira,Imovision,1
133,2009,Fundo Do Mar 3D,Documentário,Estrangeira,Espaço Itaú De Cinema,1
732,2011,E Aí Hendrix?,Documentário,Brasileira,Polifilmes,1
176,2009,Manhã Transfigurada,Ficção,Brasileira,Pandora Filmes,1
730,2011,Duas Mulheres,Ficção,Brasileira,Pipa Produções,1
609,2010,Vencer,Ficção,Estrangeira,Imovision,1
587,2010,Todo Poderoso: O Filme - 100 Anos De Timão,Documentário,Brasileira,Fox,1
599,2010,Um Mar De Aventuras 3D,Documentário,Estrangeira,Espaço Itaú De Cinema,1
598,2010,Um Lugar Ao Sol,Documentário,Brasileira,Símio Filmes,1
593,2010,Tyson,Documentário,Estrangeira,Califórnia,1
636,2011,A Despedida,Ficção,Estrangeira,Panda Filmes,1
576,2010,Solo,Ficção,Brasileira,Espaço Filmes,1
574,2010,Só Dez Por Cento É Mentira,Documentário,Brasileira,Downtown,1
643,2011,À Margem Do Lixo,Documentário,Brasileira,Raiz Distribuidora,1
566,2010,Sempre Bela,Ficção,Estrangeira,Filmes Da Mostra,1
649,2011,A Serbian Film - Terror Sem Limites,Ficção,Estrangeira,Petrini,1
208,2009,O Fim Da Picada,Ficção,Brasileira,Cinegrama,1
185,2009,Mistéryos,Ficção,Brasileira,Panda Filmes,1
328,2010,A Falta Que Me Faz,Documentário,Brasileira,Anavilhana,1
806,2011,Morro Do Céu,Documentário,Brasileira,Vitrine Filmes,1
308,2009,Vila 21,Ficção,Estrangeira,Panda Filmes,1
383,2010,Caro Francis,Documentário,Brasileira,Imovision,1
760,2011,Gêmeos - Mórbida Semelhança,Ficção,Estrangeira,F.J. Vídeo,1
344,2010,A Todo Volume,Documentário,Estrangeira,Sony,1
348,2010,Acácio,Documentário,Brasileira,Anavilhana,1
746,2011,Eu Eu Eu José Lewgoy,Documentário,Brasileira,Polifilmes,1
359,2010,Antes Da Lua Cheia,Ficção,Estrangeira,Pandora Filmes,1
362,2010,Ao Sul De Setembro,Ficção,Brasileira,Polifilmes,1
365,2010,Aquarela - As Cores De Uma Paixão,Ficção,Estrangeira,Ab Filmes,1
764,2011,Gosto De Sangue,Ficção,Estrangeira,F.J. Vídeo,1
303,2009,Velhas Guardas,Documentário,Brasileira,Pipa Produções,1
209,2009,O Fundo Do Mar,Ficção,Estrangeira,Panda Filmes,1
771,2011,Hubble 3D,Documentário,Estrangeira,Espaço Itaú De Cinema,1
283,2009,Topografia De Um Desnudo,Ficção,Brasileira,T.A.O. Produções Artisticas,1
736,2011,Embargo,Ficção,Brasileira,Raiz Distribuidora,1
281,2009,Tokyo,Ficção,Estrangeira,Califórnia,1
274,2009,Terra Sonâmbula,Ficção,Estrangeira,Panda Filmes,1
265,2009,Som E Fúria,Ficção,Brasileira,O2 Cinema,1
258,2009,Senhores Do Vento,Documentário,Brasileira,Youle Filmes,1
256,2009,Sem Fio,Ficção,Brasileira,Panda Filmes,1
219,2009,O Poder Do Soul,Documentário,Estrangeira,Sony,1
650,2011,A Última Estação (2011),Ficção,Estrangeira,Sony,1
457,2010,Léo E Bia,Ficção,Brasileira,Copacabana Filmes,1
558,2010,Reflexões De Um Liquidificador,Ficção,Brasileira,Bras Filmes,1
100,2009,Doce De Coco,Ficção,Brasileira,Pandora Filmes,1
17,2009,A Morte Inventada - Alienação Parental,Documentário,Brasileira,Caraminhola Produções Artísticas,1
507,2010,O Inferno De Henri-Georges Clouzot,Documentário,Estrangeira,Imovision,1
